File_name,Common name,Confidence,Buzz,Call,Cluster
100303934_000_003.wav,Hume's Warbler,0.9588,,,0
100303934_003_006.wav,Hume's Warbler,0.9927,,,0
100303934_006_009.wav,Hume's Warbler,0.9865,,,0
100303934_009_012.wav,Hume's Warbler,0.9831,,,1
100971737_000_003.wav,Hume's Warbler,0.8851,,,0
100971737_003_006.wav,Hume's Warbler,0.2248,,,0
100971737_009_012.wav,Hume's Warbler,0.3209,,,-1
101454210_000_003.wav,Hume's Warbler,0.5942,,,0
101454210_000_003.wav,Hammond's Flycatcher,0.1378,,,0
101454210_000_003.wav,Pallas's Leaf Warbler,0.1361,,,0
101454210_003_006.wav,Hume's Warbler,0.841,,,0
104523910_000_003.wav,Hume's Warbler,0.9785,,,0
104523910_003_006.wav,Hume's Warbler,0.9649,,,0
104523910_006_009.wav,Hume's Warbler,0.8252,,,1
104523910_2_000_003.wav,Hume's Warbler,0.8144,,,0
104523910_2_003_006.wav,Hume's Warbler,0.9515,,,0
104523910_2_006_009.wav,Hume's Warbler,0.9331,,,0
104523910_2_006_009.wav,American Tree Sparrow,0.4261,,,0
104523910_2_009_012.wav,Hume's Warbler,0.9837,,,0
108167105_000_003.wav,Hume's Warbler,0.9804,,,0
108167105_003_006.wav,Hume's Warbler,0.929,,,0
108167105_006_009.wav,Hume's Warbler,0.8661,,,0
108167105_009_012.wav,Hume's Warbler,0.92,,,0
108167105_009_012.wav,Whistler's Warbler,0.1069,,,0
110480311_000_003.wav,Hume's Warbler,0.9923,,,0
110480311_003_006.wav,Hume's Warbler,0.9855,,,0
110480311_006_009.wav,Hume's Warbler,0.978,,,0
110480311_009_012.wav,Hume's Warbler,0.9486,,,-1
141990467_000_003.wav,Hume's Warbler,0.9788,,,0
141990467_003_006.wav,Hume's Warbler,0.9753,,,-1
146551305_000_003.wav,Common Chaffinch,0.2514,,,0
146551305_003_006.wav,Hume's Warbler,0.9617,,,0
146551305_006_009.wav,Hume's Warbler,0.1483,,,0
149225498_000_003.wav,Hume's Warbler,0.9745,,,0
149225498_003_006.wav,Hume's Warbler,0.9139,,,0
149225498_006_009.wav,Hume's Warbler,0.9556,,,0
149225498_006_009.wav,Great Tit,0.1085,,,0
149225498_009_012.wav,Hume's Warbler,0.9622,,,-1
149560752_000_003.wav,Hume's Warbler,0.8892,,,-1
151353223_000_003.wav,Hume's Warbler,0.9923,,,0
151353223_000_003.wav,Eurasian Collared-Dove,0.1455,,,0
151353223_003_006.wav,Hume's Warbler,0.9438,,,0
151353223_006_009.wav,Engine,0.1232,,,-1
162863233_009_012.wav,Dark-necked Tailorbird,0.2397,,,-1
162863233_012_015.wav,Chestnut-backed Scimitar-Babbler,0.1308,,,1
162863233_012_015.wav,Indian Scimitar-Babbler,0.1155,,,1
162863233_2_009_012.wav,Dark-necked Tailorbird,0.2397,,,-1
162863233_2_012_015.wav,Chestnut-backed Scimitar-Babbler,0.1308,,,1
162863233_2_012_015.wav,Indian Scimitar-Babbler,0.1155,,,1
192197242_000_003.wav,Hume's Warbler,0.981,,,0
192197242_003_006.wav,Hume's Warbler,0.971,,,0
192197242_006_009.wav,Hume's Warbler,0.9865,,,0
192197242_009_012.wav,Hume's Warbler,0.9828,,,0
192820943_000_003.wav,Hume's Warbler,0.9082,,,0
192820943_003_006.wav,Hume's Warbler,0.9866,,,0
192820943_006_009.wav,Hume's Warbler,0.2735,,,0
192820943_006_009.wav,Barn Swallow,0.1731,,,0
194222197_003_006.wav,Hume's Warbler,0.9297,,,-1
194222197_009_012.wav,Hume's Warbler,0.9866,,,-1
194222197_012_015.wav,Hume's Warbler,0.9813,,,0
194222197_015_018.wav,Hume's Warbler,0.9701,,,0
194222197_018_021.wav,Engine,0.1795,,,1
200015152_000_003.wav,Hume's Warbler,0.9877,,,0
200015152_003_006.wav,Hume's Warbler,0.9193,,,0
200015152_003_006.wav,Fairy Martin,0.117,,,0
200015152_006_009.wav,Hume's Warbler,0.9581,,,0
200015152_006_009.wav,Rose-ringed Parakeet,0.149,,,0
200015152_009_012.wav,Hume's Warbler,0.4133,,,0
200015152_012_015.wav,Rose-ringed Parakeet,0.3255,,,0
200015152_015_018.wav,Hume's Warbler,0.6943,,,0
200015152_015_018.wav,Rose-ringed Parakeet,0.1359,,,0
200015152_018_021.wav,Hume's Warbler,0.9716,,,0
200015152_021_024.wav,Rose-ringed Parakeet,0.7123,,,0
200015152_024_027.wav,Hume's Warbler,0.9922,,,0
200015152_027_030.wav,Hume's Warbler,0.971,,,0
200015152_030_033.wav,Hume's Warbler,0.9665,,,0
200015152_039_042.wav,Hume's Warbler,0.9975,,,0
200015152_045_048.wav,Hume's Warbler,0.9933,,,0
200015152_051_054.wav,Hume's Warbler,0.9983,,,0
200015152_057_060.wav,Red-tailed Black-Cockatoo,0.1393,,,0
200015152_063_066.wav,Eastern Rosella,0.1006,,,0
200015152_066_069.wav,Rose-ringed Parakeet,0.9228,,,0
200015152_069_072.wav,Rose-ringed Parakeet,0.7633,,,0
200123250_000_003.wav,Hume's Warbler,0.9835,,,0
205216347_000_003.wav,Hume's Warbler,0.8678,,,-1
220605925_000_003.wav,Hume's Warbler,0.8291,,,-1
220605925_003_006.wav,Yellow-fronted Canary,0.3174,,,-1
220605925_003_006.wav,Chinese Leaf Warbler,0.2465,,,-1
220605925_003_006.wav,Hume's Warbler,0.1402,,,-1
220605925_006_009.wav,Greenish Warbler,0.1465,,,-1
220605925_009_012.wav,Hume's Warbler,0.9481,,,-1
220605925_012_015.wav,Chinese Leaf Warbler,0.9374,,,-1
220605925_015_018.wav,Chinese Leaf Warbler,0.3553,,,-1
239740886_000_003.wav,Hume's Warbler,0.8127,,,0
239740886_003_006.wav,Hume's Warbler,0.9841,,,0
239740886_006_009.wav,Hume's Warbler,0.2369,,,-1
239740886_006_009.wav,Yellow-browed Warbler,0.1798,,,-1
239740886_006_009.wav,Green Warbler,0.1062,,,-1
246099744_003_006.wav,Hume's Warbler,0.141,,,-1
246099744_003_006.wav,Engine,0.1137,,,-1
246650983_000_003.wav,Hume's Warbler,0.9994,,,0
246650983_003_006.wav,Hume's Warbler,0.9994,,,0
246650983_006_009.wav,Hume's Warbler,0.9954,,,-1
250332058_000_003.wav,Hume's Warbler,0.9968,,,-1
250332058_003_006.wav,Hume's Warbler,0.9926,,,-1
252265310_000_003.wav,Crested Tit,0.4286,,,0
252265310_000_003.wav,Eurasian Blue Tit,0.1391,,,0
